ThaiName,EnglishName,Type
  โบลิเวีย,Bolivia,place
  ปวยร์โตรีโก,Puerto Rico,place
  ปากีสถาน,Pakistan,place
  ปานามา,Panama,place
  ปาปัวนิวกินี,Papua New Guinea,place
  ปารากวัย,Paraguay,place
  ปาเลา,Palau,place
  เปรู,Peru,place
  โปรตุเกส,Portugal,place
  โปแลนด์,Poland,place
  ฝรั่งเศส,France,place
  แพลไมราอะทอลล์,Palmyra Atoll,place
  ฟินแลนด์,Finland,place
  ฟิลิปปินส์,Philippines,place
  ฟีจี,Fiji,place
  เฟรนช์เกียนา,French Guiana,place
  เฟรนช์เซาเทิร์นและแอนตาร์กติกแลนดส์,French Southern and Antarctic Lands,place
  เฟรนช์พอลินีเชีย,French Polynesia,place
  ภูฏาน,Bhutan,place
  มองโกเลีย,Mongolia,place
  มอนต์เซอร์รัต,Montserrat,place
  มอนเตเนโกร,Montenegro,place
  มอริเชียส,Mauritius,place
  มอริเตเนีย,Mauritania,place
  มอลโดวา,Moldova,place
  มอลตา,Malta,place
  มัลดีฟส์,Maldives,place
  มาดากัสการ์,Madagascar,place
  มาเดรา,Madeira,place
  มายอต,Mayotte,place
  มาร์ตีนิก,Martinique,place
  มาลาวี,Malawi,place
  มาลี,Mali,place
  มาเลเซีย,Malaysia,place
  มิดเวย์อะทอลล์,Midway Atoll,place
  เม็กซิโก,Mexico,place
  เมลียา,Melilla,place
  โมซัมบิก,Mozambique,place
  โมนาโก,Monaco,place
  โมร็อกโก,Morocco,place
  ไมโครนีเซีย,Micronesia,place
  ยานไมเอน,Jan Mayen,place
  ยิบรอลตาร์,Gibraltar,place
  ยูกันดา,Uganda,place
  ยูเครน,Ukraine,place
  เยเมน,Yemen,place
  เยอรมนี,Germany,place
  รวันดา,Rwanda,place
  รอสส์ดีเพนเดนซี,Ross Dependency,place
  เรอูว์นียง,Réunion,place
  โรมาเนีย,Romania,place
  ลักเซมเบิร์ก,Luxembourg,place
  ลัตเวีย,Latvia,place
  ลาว,Laos,place
  ลิกเตนสไตน์,Liechtenstein,place
  ลิทัวเนีย,Lithuania,place
  ลิเบีย,Libya,place
  เลโซโท,Lesotho,place
  เลบานอน,Lebanon,place
  ไลบีเรีย,Liberia,place
  วานูวาตู,Vanuatu,place
  วาลิสและฟูตูนา,Wallis and Futuna,place
  เวเนซุเอลา,Venezuela,place
  เวสเทิร์นสะฮารา,Western Sahara,place
  เวียดนาม,Vietnam,place
  ศรีลังกา,Sri Lanka,place
  สเปน,Spain,place
  สฟาลบาร์,Svalbard,place
  สโลวาเกีย,Slovakia,place
  สโลวีเนีย,Slovenia,place
  สวาซิแลนด์,Swaziland,place
  สวิตเซอร์แลนด์,Switzerland,place
  สวีเดน,Sweden,place
  สหรัฐอเมริกา,United States of America,place
  สหรัฐอาหรับเอมิเรตส์,United Arab Emirates,place
  สหราชอาณาจักร,United Kingdom,place
  สาธารณรัฐคองโก,Republic of the Congo,place
  สาธารณรัฐโดมินิกัน,Dominican Republic,place
"  สาธารณรัฐประชาธิปไตย
อาหรับซาห์ราวี",Sahrawi Arab Democratic Republic,place
"  สาธารณรัฐประชาธิปไตย
อาหรับซาห์ราวี",Sahrawi Arab Democratic Republic,place
  สาธารณรัฐประชาธิปไตยคองโก,Democratic Republic of the Congo,place
  สาธารณรัฐแอฟริกากลาง,Central African Republic,place
  สิงคโปร์,Singapore,place
  หมู่เกาะคอรัลซี,Coral Sea Islands,place
  หมู่เกาะคะแนรี,Canary Islands,place
  หมู่เกาะคุก,Cook Islands,place
  หมู่เกาะเคย์แมน,Cayman Islands,place
  หมู่เกาะโคโคส (คีลิง),Cocos (Keeling) Islands,place
  หมู่เกาะโซโลมอน,Solomon Islands,place
  หมู่เกาะเติกส์และเคคอส,Turks and Caicos Islands,place
  หมู่เกาะนอร์เทิร์นมาเรียนา,Northern Mariana Islands,place
  หมู่เกาะบริติชเวอร์จิน,British Virgin Islands,place
  หมู่เกาะพิตแคร์น,Pitcairn Islands,place
  หมู่เกาะฟอล์กแลนด์,Falkland Islands,place
  หมู่เกาะแฟโร,Faroe Islands,place
  หมู่เกาะมาร์แชลล์,Marshall Islands,place
  หมู่เกาะเวอร์จินของสหรัฐอเมริกา,United States Virgin Islands,place
  หมู่เกาะแอชมอร์และคาร์เทียร์,Ashmore and Cartier Islands,place
  อเมริกันซามัว,American Samoa,place
  ออสเตรเลีย,Australia,place
"  ออสเตรเลียนแอนตาร์กติก
เทร์ริทอรี",Australian Antarctic Territory,place
  ออสเตรีย,Austria,place
  อะโซร์ส,Azores,place
  อันดอร์รา,Andorra,place
  อับฮาเซีย,Abkhazia,place
  อับฮาเซีย,Abkhazia,place
  อัฟกานิสถาน,Afghanistan,place
  อาเซอร์ไบจาน,Azerbaijan,place
  อาร์เจนตินา,Argentina,place
  อาร์เจนไทน์แอนตาร์กติกา,Argentine Antarctica,place
  อารูบา,Aruba,place
  อิเควทอเรียลกินี,Equatorial Guinea,place
  อิตาลี,Italy,place
  อินเดีย,India,place
  อิรัก,Iraq,place
  อิสราเอล,Israel,place
  อิหร่าน,Iran,place
  อียิปต์,Egypt,place
  อุซเบกิสถาน,Uzbekistan,place
  อุรุกวัย,Uruguay,place
  เอกวาดอร์,Ecuador,place
  เอธิโอเปีย,Ethiopia,place
  เอริเทรีย,Eritrea,place
  เอลซัลวาดอร์,El Salvador,place
  เอสโตเนีย,Estonia,place
  แอโครเทียรีและดิเคเลีย,Akrotiri and Dhekelia,place
  แองกวิลลา,Anguilla,place
  แองโกลา,Angola,place
  แอนติกาและบาร์บูดา,Antigua and Barbuda,place
  แอฟริกาใต้,South Africa,place
  แอลจีเรีย,Algeria,place
  แอลเบเนีย,Albania,place
  โอมาน,Oman,place
  ไอซ์แลนด์,Iceland,place
  ไอร์แลนด์,Ireland,place
  ไอล์ออฟแมน,Isle of Man,place
  ฮอนดูรัส,Honduras,place
  ฮังการี,Hungary,place
  เฮติ,Haiti,place
1 กรกฎาคม ,July 1,date
1 กันยายน,September 1,date
1 กุมภาพันธ์ ,February 1,date
1 ตุลาคม ,October 1,date
1 ธันวาคม,December 1,date
1 พฤศจิกายน ,November 1,date
1 พฤษภาคม,May 1,date
1 มกราคม ,January 1,date
1 มิถุนายน ,June 1,date
1 มีนาคม ,March 1,date
1 เมษายน ,April 1,date
1 สิงหาคม,August 1,date
10 กรกฎาคม ,July 10,date
10 กันยายน,September 10,date
10 กุมภาพันธ์ ,February 10,date
10 ตุลาคม ,October 10,date
10 ธันวาคม,December 10,date
10 พฤศจิกายน ,November 10,date
10 พฤษภาคม,May 10,date
10 มกราคม ,January 10,date
10 มิถุนายน ,June 10,date
10 มีนาคม ,March 10,date
10 เมษายน ,April 10,date
10 สิงหาคม,August 10,date
11 กรกฎาคม ,July 11,date
11 กันยายน,September 11,date
11 กุมภาพันธ์ ,February 11,date
11 ตุลาคม ,October 11,date
11 ธันวาคม,December 11,date
11 พฤศจิกายน ,November 11,date
11 พฤษภาคม,May 11,date
11 มกราคม ,January 11,date
11 มิถุนายน ,June 11,date
11 มีนาคม ,March 11,date
11 เมษายน ,April 11,date
11 สิงหาคม,August 11,date
12 กรกฎาคม ,July 12,date
12 กันยายน,September 12,date
12 กุมภาพันธ์ ,February 12,date
12 ตุลาคม ,October 12,date
12 ธันวาคม,December 12,date
12 พฤศจิกายน ,November 12,date
12 พฤษภาคม,May 12,date
12 มกราคม ,January 12,date
12 มิถุนายน ,June 12,date
12 มีนาคม ,March 12,date
12 เมษายน ,April 12,date
12 สิงหาคม,12 August,date
1202 สวนหลวงคลินิกเวชกรรม,,"organization, place"
13 กรกฎาคม ,July 13,date
13 กันยายน,September 13,date
13 กุมภาพันธ์ ,February 13,date
13 ตุลาคม ,October 13,date
13 ธันวาคม,December 13,date
13 พฤศจิกายน ,November 13,date
13 พฤษภาคม,May 13,date
13 มกราคม ,January 13,date
13 มิถุนายน ,June 13,date
13 มีนาคม ,Mar 13,date
13 เมษายน ,April 13,date
13 สิงหาคม,August 13,date
14 กรกฎาคม ,July 14,date
14 กันยายน,September 14,date
14 กุมภาพันธ์ ,February 14,date
14 ตุลาคม ,October 14,date
14 ธันวาคม,December 14,date
14 พฤศจิกายน ,November 14,date
14 พฤษภาคม,May 14,date
14 มกราคม ,January 14,date
14 มิถุนายน ,June 14,date
14 มีนาคม ,March 14,date
14 เมษายน ,April 14,date
14 สิงหาคม,August 14,date
15 กรกฎาคม ,July 15,date
15 กันยายน,September 15,date
15 กุมภาพันธ์ ,February 15,date
15 ตุลาคม ,October 15,date
15 ธันวาคม,December 15,date
15 พฤศจิกายน ,November 15,date
15 พฤษภาคม,May 15,date
15 มกราคม ,January 15,date
15 มิถุนายน ,June 15,date
15 มีนาคม ,March 15,date
15 เมษายน ,April 15,date
15 สิงหาคม,August 15,date
16 กรกฎาคม ,July 16,date
16 กันยายน,September 16,date
16 กุมภาพันธ์ ,February 16,date
16 ตุลาคม ,October 16,date
16 ธันวาคม,December 16,date
16 พฤศจิกายน ,November 16,date
16 พฤษภาคม,May 16,date
16 มกราคม ,January 16,date
16 มิถุนายน ,June 16,date
16 มีนาคม ,March 16,date
16 เมษายน ,April 16,date
16 สิงหาคม,August 16,date
17 กรกฎาคม ,July 17,date
17 กันยายน,September 17,date
17 กุมภาพันธ์ ,February 17,date
17 ตุลาคม ,October 17,date
17 ธันวาคม,December 17,date
17 พฤศจิกายน ,November 17,date
17 พฤษภาคม,May 17,date
17 มกราคม ,January 17,date
17 มิถุนายน ,June 17,date
17 มีนาคม ,March 17,date
17 เมษายน ,April 17,date
17 สิงหาคม,August 17,date
18 กรกฎาคม ,July 18,date
18 กันยายน,September 18,date
18 กุมภาพันธ์ ,February 18,date
18 ตุลาคม ,October 18,date
18 ธันวาคม,December 18,date
18 พฤศจิกายน ,November 18,date
18 พฤษภาคม,May 18,date
18 มกราคม ,January 18,date
18 มิถุนายน ,June 18,date
18 มีนาคม ,March 18,date
18 เมษายน ,April 18,date
18 สิงหาคม,August 18,date
19 กรกฎาคม ,July 19,date
19 กันยายน,September 19,date
19 กุมภาพันธ์ ,February 19,date
19 ตุลาคม ,October 19,date
19 ธันวาคม,December 19,date
19 พฤศจิกายน ,November 19,date
19 พฤษภาคม,May 19,date
19 มกราคม ,January 19,date
19 มิถุนายน ,June 19,date
19 มีนาคม ,March 19,date
19 เมษายน ,April 19,date
19 สิงหาคม,August 19,date
2 กรกฎาคม ,July 2,date
2 กันยายน,September 2,date
2 กุมภาพันธ์ ,February 2,date
2 ตุลาคม ,October 2,date
2 ธันวาคม,December 2,date
2 พฤศจิกายน ,November 2,date
2 พฤษภาคม,May 2,date
2 มกราคม ,January 2,date
2 มิถุนายน ,June 2,date
2 มีนาคม ,March 2,date
2 เมษายน ,April 2,date
2 สิงหาคม,August 2,date
20 กรกฎาคม ,July 20,date
20 กันยายน,September 20,date
20 กุมภาพันธ์ ,February 20,date
20 ตุลาคม ,October 20,date
20 ธันวาคม,December 20,date
20 พฤศจิกายน ,November 20,date
20 พฤษภาคม,May 20,date
20 มกราคม ,January 20,date
20 มิถุนายน ,June 20,date
20 มีนาคม ,March 20,date
20 เมษายน ,April 20,date
20 สิงหาคม,August 20,date
21 กรกฎาคม ,July 21,date
21 กันยายน,September 21,date
21 กุมภาพันธ์ ,February 21,date
21 ตุลาคม ,October 21,date
21 ธันวาคม,December 21,date
21 พฤศจิกายน ,November 21,date
21 พฤษภาคม,May 21,date
21 มกราคม ,January 21,date
21 มิถุนายน ,June 21,date
21 มีนาคม ,March 21,date
21 เมษายน ,April 21,date
21 สิงหาคม,August 21,date
22 กรกฎาคม ,July 22,date
22 กันยายน,September 22,date
22 กุมภาพันธ์ ,February 22,date
22 เดนทัลคลินิกทันตกรรม,,"organization, place"
22 ตุลาคม ,October 22,date
22 ธันวาคม,December 22,date
22 พฤศจิกายน ,November 22,date
22 พฤษภาคม,May 22,date
22 มกราคม ,January 22,date
22 มิถุนายน ,June 22,date
22 มีนาคม ,March 22,date
22 เมษายน ,April 22,date
22 เวชการคลินิก,,"organization, place"
22 สิงหาคม,August 22,date
23 กรกฎาคม ,July 23,date
23 กันยายน,September 23,date
23 กุมภาพันธ์ ,February 23,date
23 ตุลาคม ,October 23,date
23 ธันวาคม,December 23,date
23 พฤศจิกายน ,November 23,date
23 พฤษภาคม,May 23,date
23 มกราคม ,January 23,date
23 มิถุนายน ,June 23,date
23 มีนาคม ,March 23,date
23 เมษายน ,April 23,date
23 สิงหาคม,August 23,date
24 กรกฎาคม ,July 24,date
24 กันยายน,September 24,date
24 กุมภาพันธ์ ,February 24,date
24 ตุลาคม ,October 24,date
24 ธันวาคม,December 24,date
24 พฤศจิกายน ,November 24,date
24 พฤษภาคม,May 24,date
24 มกราคม ,January 24,date
24 มิถุนายน ,June 24,date
24 มีนาคม ,March 24,date
24 เมษายน ,April 24,date
24 สิงหาคม,August 24,date
25 กรกฎาคม ,July 25,date
25 กันยายน,September 25,date
25 กุมภาพันธ์ ,February 25,date
25 ตุลาคม ,October 25,date
25 ธันวาคม,December 25,date
25 พฤศจิกายน ,November 25,date
25 พฤษภาคม,May 25,date
25 มกราคม ,January 25,date
25 มิถุนายน ,June 25,date
25 มีนาคม ,March 25,date
25 เมษายน ,April 25,date
25 สิงหาคม,August 25,date
26 กรกฎาคม ,July 26,date
26 กันยายน,September 26,date
26 กุมภาพันธ์ ,February 26,date
26 ตุลาคม ,October 26,date
26 ธันวาคม,December 26,date
26 พฤศจิกายน ,November 26,date
26 พฤษภาคม,May 26,date
26 มกราคม ,January 26,date
26 มิถุนายน ,June 26,date
26 มีนาคม ,March 26,date
26 เมษายน ,April 26,date
26 สิงหาคม,August 26,date
27 กรกฎาคม ,July 27,date
27 กันยายน,September 27,date
27 กุมภาพันธ์ ,February 27,date
27 ตุลาคม ,October 27,date
27 ธันวาคม,December 27,date
27 พฤศจิกายน ,November 27,date
27 พฤษภาคม,May 27,date
27 มกราคม ,January 27,date
27 มิถุนายน ,June 27,date
27 มีนาคม ,March 27,date
27 เมษายน ,April 27,date
27 สิงหาคม,August 27,date
28 กรกฎาคม ,July 28,date
28 กันยายน,September 28,date
28 กุมภาพันธ์ ,February 28,date
28 คลินิกทันตกรรม,,"organization, place"
28 ตุลาคม ,October 28,date
28 ธันวาคม,December 28,date
28 พฤศจิกายน ,November 28,date
28 พฤษภาคม,May 28,date
28 มกราคม ,January 28,date
28 มิถุนายน ,June 28,date
28 มีนาคม ,March 28,date
28 เมษายน ,April 28,date
28 สิงหาคม,August 28,date
29 กรกฎาคม ,July 29,date
29 กันยายน,September 29,date
29 กุมภาพันธ์ ,February 29,date
29 ตุลาคม ,October 29,date
29 ธันวาคม,December 29,date
29 พฤศจิกายน ,November 29,date
29 พฤษภาคม,May 29,date
29 มกราคม ,January 29,date
29 มิถุนายน ,June 29,date
29 มีนาคม ,March 29,date
29 เมษายน ,April 29,date
29 สิงหาคม,August 29,date
3 กรกฎาคม ,July 3,date
3 กันยายน,September 3,date
3 กุมภาพันธ์ ,February 3,date
3 ตุลาคม ,October 3,date
3 ธันวาคม,December 3,date
3 พฤศจิกายน ,November 3,date
3 พฤษภาคม,May 3,date
3 มกราคม ,January 3,date
3 มิถุนายน ,June 3,date
3 มีนาคม ,March 3,date
3 เมษายน ,April 3,date
3 สิงหาคม,August 3,date
30 กรกฎาคม ,July 30,date
30 กันยายน,September 30,date
30 ตุลาคม ,October 30,date
30 ธันวาคม,December 30,date
30 พฤศจิกายน ,November 30,date
30 พฤษภาคม,May 30,date
30 มกราคม ,January 30,date
30 มิถุนายน ,June 30,date
30 มีนาคม ,March 30,date
30 เมษายน ,April 30,date
30 สิงหาคม,August 30,date
31 กรกฎาคม ,July 31,date
31 ตุลาคม ,October 31,date
31 ธันวาคม,December 31,date
31 พฤษภาคม,May 31,date
31 มกราคม ,January 31,date
31 มีนาคม ,March 31,date
31 สิงหาคม,August 31,date
33 เมดิคลินิกเวชกรรม,,"organization, place"
4 กรกฎาคม ,July 4,date
4 กันยายน,September 4,date
4 กุมภาพันธ์ ,February 4,date
4 ตุลาคม ,October 4,date
4 ธันวาคม,December 4,date
4 พฤศจิกายน ,November 4,date
4 พฤษภาคม,May 4,date
4 มกราคม ,January 4,date
4 มิถุนายน ,June 4,date
4 มีนาคม ,March 4,date
4 เมษายน ,April 4,date
4 สิงหาคม,August 4,date
48 การแพทย์คลินิกเวชกรรม,,"organization, place"
5 กรกฎาคม ,July 5,date
5 กันยายน,September 5,date
5 กุมภาพันธ์ ,February 5,date
5 ตุลาคม ,October 5,date
5 ธันวาคม,December 5,date
5 พฤศจิกายน ,November 5,date
5 พฤษภาคม,May 5,date
5 มกราคม ,January 5,date
5 มิถุนายน ,June 5,date
5 มีนาคม ,March 5,date
5 เมษายน ,April 5,date
5 สิงหาคม,August 5,date
52 คลินิกทันตกรรม,,"organization, place"
6 กรกฎาคม ,July 6,date
6 กันยายน,September 6,date
6 กุมภาพันธ์ ,February 6,date
6 ตุลาคม ,October 6,date
6 ธันวาคม,December 6,date
6 พฤศจิกายน ,November 6,date
6 พฤษภาคม,May 6,date
6 มกราคม ,January 6,date
6 มิถุนายน ,June 6,date
6 มีนาคม ,March 6,date
6 เมษายน ,April 6,date
6 สิงหาคม,August 6,date
7 กรกฎาคม ,July 7,date
7 กันยายน,September 7,date
7 กุมภาพันธ์ ,February 7,date
7 ตุลาคม ,October 7,date
7 ธันวาคม,December 7,date
7 พฤศจิกายน ,November 7,date
7 พฤษภาคม,May 7,date
7 มกราคม ,January 7,date
7 มิถุนายน ,June 7,date
7 มีนาคม ,March 7,date
7 เมษายน ,April 7,date
7 สิงหาคม,August 7,date
8 กรกฎาคม ,July 8,date
8 กันยายน,September 8,date
8 กุมภาพันธ์ ,February 8,date
8 ตุลาคม ,October 8,date
8 ธันวาคม,December 8,date
8 พฤศจิกายน ,November 8,date
8 พฤษภาคม,May 8,date
8 มกราคม ,January 8,date
8 มิถุนายน ,June 8,date
8 มีนาคม ,March 8,date
8 เมษายน ,April 8,date
8 สิงหาคม,August 8,date
9 กรกฎาคม ,July 9,date
9 กันยายน,September 9,date
9 กุมภาพันธ์ ,February 9,date
9 ตุลาคม ,October 9,date
9 ธันวาคม,December 9,date
9 พฤศจิกายน ,November 9,date
9 พฤษภาคม,May 9,date
9 มกราคม ,January 9,date
9 มิถุนายน ,June 9,date
9 มีนาคม ,March 9,date
9 เมษายน ,April 9,date
9 สิงหาคม,August 9,date
ASEAN Free Trade Area หรือ AFTA,สนธิสัญญาสมาชิกสหภาพยุโรป (ค.ศ. 2003),other
Hay-Pauncefote Treaty,Hay-Pauncefote Treaty,other
International Treaty on Plant Genetic Resources for Food and Agriculture หรือ,International Seed Treaty,other
Mine Ban Treaty หรือ,Ottawa Treaty,other
Moscow Treaty หรือ Treaty on Strategic Offensive Reductions,เขตการค้าเสรีอาเซียน,other
Pacto Federal,Pacto Federal,other
Treaty of Accession 2003,กรอบสนธิสัญญาองค์การอนามัยโลกว่าด้วยการควบคุมยาสูบ,other
Treaty of Cahuenga,Treaty of Cahuenga OR Capitulation of Cahuenga,other
Treaty of Saginaw,Treaty of Saginaw,other
Treaty of Shaoxing,Treaty of Shaoxing,other
Treaty of Surji-Arjungaon,Treaty of Surji-Arjungaon,other
World Health Organization Framework Convention on Tobacco Control หรือ FCTC,สนธิสัญญานานาชาติว่าด้วยทรัพยากรทางพันธุกรรมสำหรับอาหารและการเกษตร,other
กกกุง,Kok Kung,place
กกแก้วบูรพา,Kok Kaeo Burapha,place
กกโก,Kok Ko,place
กกดู่,Kok Du,place
กกแดง,Kok Daeng,place
กกตูม,Kok Tum,place
กกทอง,Kok Thong,place
กกปลาซิว,Kok Pla Sio,place
กกโพธิ์,Kok Pho,place
กกแรต,Kok Raet,place
กกสะทอน,Kok Sathon,place
กง,Kong,place
กงไกรลาศ,Kong Krailat,place
กงรถ,Kong Rot,place
กงหรา,Kong Ra,place
กงหรา,Kong Ra,place
กฎบัตรสหประชาชาติ,UN Charter,other
กติกาเบรททัน วูดส์,Bretton Woods system OR Bretton Woods Agreement,other
กติการะหว่างประเทศว่าด้วยสิทธิพลเมืองและสิทธิทางการเมือง,International Covenant on Civil and Political Rights OR ICCPR,other
กติกาสัญญาซานฮน,Pact of Zanjón,other
กติกาสัญญาซิคาร์ดิ,Pactum Sicardi,other
กติกาสัญญาบอลข่าน,Balkan Pact,other
กติกาสัญญาไม่รุกรานซึ่งกันและกันระหว่างฝรั่งเศสและโซเวียต,Soviet-French Non-Aggression Pact,other
กติกาสัญญาลอนดอน,London Pact,other
กติกาสัญญาลิอาควัต-เนห์รู,Liaquat-Nehru Pact,other
กติกาสัญญาว่าด้วยการไม่รุกรานกันระหว่างโซเวียต-โปแลนด์,Soviet-Polish Non-Aggression Pact,other
กติกาสัญญาว่าด้วยการไม่รุกรานกันระหว่างเยอรมัน-โปแลนด์,German-Polish Non-Aggression Pact,other
ก้นลาย ก้นแตกลาย,,other
กบเจา,Kop Chao,place
กบินทร์,Kabin,place
กบินทร์บุรี,Kabin Buri,place
กมลา,Kamala,place
กมลาไสย,Kamalasai,place
กมลาไสย,Kamalasai,place
กร ทัพพะรังสี,Korn Tapparangsri,person
กรงปินัง,Krong Pinang,place
กรงปีนัง,Krong Pinang,place
กรดไหลย้อน (เกิร์ด),,other
กรมแพทย์ทหารเรือ,,"organization, place"
กรมแพทย์ทหารอากาศ ,,"organization, place"
กรวยไตอักเสบ,,other
กรอกสมบูรณ์,Krok Sombun,place
กระ,,other
กระจัน,Krachan,place
กระจาย,Krachai,place
กระจิว,Krachio,place
กระแจะ,Krachae,place
กระเฉด,Kachet,place
กระชอน,Krachon,place
กระแชง,Krachaeng,place
กระดังงา,Kradang Nga,place
กระดูกพรุน กระดูกบาง,,other
กระดูกหัก,,other
กระเดียน,Kradian,place
กระโด,Krado,place
กระตีบ,Kratip,place
กระทรวงกลาโหม,Ministry of Defence,"organization, place"
กระทรวงกลาโหม,,"organization, place"
กระทรวงการคลัง,Ministry of Finance,"organization, place"
กระทรวงการคลัง,,"organization, place"
